Year,State,FIPS Code,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
1976,Alabama,1.0,2632666.6666666665,1500259.6666666667,56.5,1399782.0833333333,53.0,100477.58333333333,6.166666666666667
1976,Alaska,2.0,239916.66666666666,164279.08333333334,67.91666666666667,151832.83333333334,63.0,12446.25,7.166666666666667
1976,Arizona,4.0,1650916.6666666667,981991.8333333334,59.083333333333336,886159.25,53.333333333333336,95832.58333333333,9.333333333333334
1976,Arkansas,5.0,1546583.3333333333,893779.8333333334,57.0,832171.1666666666,53.416666666666664,61608.666666666664,6.416666666666667
1976,California,6.0,15823750.0,9898940.166666666,62.083333333333336,8993282.916666666,56.25,905657.25,9.0
1976,Colorado,8.0,1858250.0,1240464.9166666667,66.33333333333333,1166952.8333333333,62.25,73512.08333333333,5.333333333333333
1976,Connecticut,9.0,2260083.3333333335,1453901.75,64.0,1320612.5,57.75,133289.25,8.666666666666666
1976,Delaware,10.0,420666.6666666667,263315.5833333333,62.0,240714.83333333334,57.0,22600.75,8.333333333333334
1976,District of Columbia,11.0,517250.0,331975.5833333333,63.75,303379.9166666667,58.166666666666664,28595.666666666668,8.0
1976,Florida,12.0,6509000.0,3600522.5,54.916666666666664,3266309.6666666665,49.916666666666664,334212.8333333333,9.0
1976,Georgia,13.0,3557750.0,2271107.4166666665,63.333333333333336,2086055.25,58.083333333333336,185052.16666666666,8.0
1976,Hawaii,15.0,591833.3333333334,409743.1666666667,68.66666666666667,372066.3333333333,62.166666666666664,37676.833333333336,8.583333333333334
1976,Idaho,16.0,589333.3333333334,372450.5,62.666666666666664,351408.75,59.25,21041.75,5.0
1976,Illinois,17.0,8177500.0,5147815.666666667,62.5,4811745.583333333,58.083333333333336,336070.0833333333,6.0
1976,Indiana,18.0,3812500.0,2439261.0833333335,63.5,2292169.75,59.666666666666664,147091.33333333334,5.416666666666667
1976,Iowa,19.0,2081583.3333333333,1338952.9166666667,64.0,1284100.0,61.166666666666664,54852.916666666664,3.8333333333333335
1976,Kansas,20.0,1647583.3333333333,1077083.75,64.91666666666667,1032512.9166666666,62.333333333333336,44570.833333333336,4.0
1976,Kentucky,21.0,2486500.0,1493296.25,59.666666666666664,1412261.4166666667,56.083333333333336,81034.83333333333,5.0
