State,Year,Population
California,2024,38889770
Texas,2024,30976754
Florida,2024,22975931
New York,2024,19469232
Pennsylvania,2024,12951275
Illinois,2024,12516863
Ohio,2024,11812173
Georgia,2024,11145304
North Carolina,2024,10975017
Michigan,2024,10041241
New Jersey,2024,9320865
Virginia,2024,8752297
Washington,2024,7841283
Arizona,2024,7497004
Tennessee,2024,7204002
Massachusetts,2024,7020058
Indiana,2024,6892124
Missouri,2024,6215144
Maryland,2024,6196525
Wisconsin,2024,5931367
Colorado,2024,5914181
Minnesota,2024,5761530
South Carolina,2024,5464155
Alabama,2024,5143033
Louisiana,2024,4559475
Kentucky,2024,4540745
Oregon,2024,4227337
Oklahoma,2024,4088377
Connecticut,2024,3625646
Utah,2024,3454232
Iowa,2024,3214315
Nevada,2024,3210931
Arkansas,2024,3089060
Kansas,2024,2944376
Mississippi,2024,2940452
New Mexico,2024,2115266
Idaho,2024,1990456
Nebraska,2024,1988698
West Virginia,2024,1766107
Hawaii,2024,1430877
New Hampshire,2024,1405105
Maine,2024,1402106
Montana,2024,1142746
Rhode Island,2024,1098082
Delaware,2024,1044321
South Dakota,2024,928767
North Dakota,2024,788940
Alaska,2024,733536
Vermont,2024,647818
Wyoming,2024,586485
California,2023,38965193
Texas,2023,30503301
Florida,2023,22610726
New York,2023,19571216
Pennsylvania,2023,12961683
Illinois,2023,12549689
Ohio,2023,11785935
Georgia,2023,11029227
North Carolina,2023,10835491
Michigan,2023,10037261
New Jersey,2023,9290841
Virginia,2023,8715698
Washington,2023,7812880
Arizona,2023,7431344
Tennessee,2023,7126489
Massachusetts,2023,7001399
Indiana,2023,6862199
Missouri,2023,6196156
Maryland,2023,6180253
Wisconsin,2023,5910955
Colorado,2023,5877610
Minnesota,2023,5737915
South Carolina,2023,5373555
Alabama,2023,5108468
Louisiana,2023,4573749
Kentucky,2023,4526154
Oregon,2023,4233358
Oklahoma,2023,4053824
Connecticut,2023,3617176
Utah,2023,3417734
Iowa,2023,3207004
Nevada,2023,3194176
Arkansas,2023,3067732
Kansas,2023,2940546
Mississippi,2023,2939690
New Mexico,2023,2114371
Idaho,2023,1964726
Nebraska,2023,1978379
West Virginia,2023,1770071
Hawaii,2023,1435138
New Hampshire,2023,1402054
Maine,2023,1395722
Montana,2023,1132812
Rhode Island,2023,1095962
Delaware,2023,1031890
South Dakota,2023,919318
North Dakota,2023,783926
Alaska,2023,733406
Vermont,2023,647464
Wyoming,2023,584057
California,2021,39145060
Texas,2021,29561286
Florida,2021,21830708
New York,2021,19854526
Pennsylvania,2021,13013614
Illinois,2021,12690341
Ohio,2021,11765227
